TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Dự án đánh giá Phase 1 — Go Foundation CLI Suite @passrate @phase-project,"Vai trò: bài thi pass/fail cuối Phase 1. Chỉ bắt đầu khi đã học xong W1-W3.

Goal: chứng minh bạn đã nắm syntax, package/scope, variable, type system, constant, if/switch, loop bằng một CLI suite đủ dùng thật.

Input bắt buộc:
- W1: setup, package, variable, printf.
- W2: number/string conversion, type system, const, if/switch.
- W3: loop/range semantics.

Sản phẩm phải làm:
- CLI có 3 command: convert, stats, inspect.
- convert: parse input string/number và trả kết quả rõ ràng.
- stats: đọc list số/text và in summary có formatting.
- inspect: in metadata/debug info có printf/table output.
- Tách ít nhất 1 reusable package ngoài main.

Passrate rubric — cần >= 85/100 để pass:
- Correctness 30đ: output đúng, invalid input xử lý rõ.
- Go fundamentals 25đ: dùng package/scope/type/loop đúng, không code kiểu Dart/JS.
- Tests 20đ: >=25 test cases, table-driven tests, go test ./... xanh.
- UX/Error 15đ: stdout/stderr/exit code rõ, không panic normal flow.
- Docs/Reflection 10đ: README + 10 bài học Phase 1.

Fail nếu: không có test, code panic với input thường gặp, hoặc không giải thích được flow/type decisions.",,1,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
,,,,,,,,,,,,,,
section,02 • Phase 2 — Data Structures & Text/File Workflows (Weeks 4–6),,False,,,,,,,,,,,
task,Phase 2 — Cấu trúc dữ liệu và xử lý text/file (Tuần 4-6),"Nguồn: roadmap_final.md + roadmap_phase2.md.

Mục tiêu: dùng array, slice, map, string/rune/byte và file/input workflow một cách chắc tay; biết xử lý text/file có Unicode, deterministic output và lỗi filesystem.

Input:
- learngo 14 arrays, 15 retro LED clock, 16 slices, 17 empty file finder, 19 strings/runes/bytes, 20 spam masker, 21 text wrapper, 22 maps, 23 input scanning.

Output học tập:
- Fixed-size buffer module.
- Retro LED Clock nâng cấp: timezone, 12h/24h, theme, config, deterministic output test.
- File/Text Toolkit spec.
- Unicode-safe truncation/wrapping utility.
- Deterministic report generator từ map/file input.

Dự án pass phase:
- Dự án đánh giá Phase 2 — Unicode File Report Toolkit.
- Phase chỉ pass khi dự án đạt >=85/100 theo rubric passrate.

Done criteria:
- Chứng minh hiểu copy semantics, slice len/cap/backing array, map ordering, Unicode iteration.
- Có report giải thích các bug phổ biến quanh slice/file/Unicode và cách phòng tránh.
- Dự án đánh giá Phase 2 đạt passrate.",,1,1,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Sprint W4 — Array và Retro LED Clock core (25-31/05),"Nguồn: roadmap_final.md, Phase 2/Tuần 4.

Mục tiêu tuần: hiểu array là value type, xây nền cho project Retro LED Clock và bắt đầu tư duy rendering/state trong Go CLI.

Input:
- learngo: 14-arrays, 15-project-retro-led-clock, 18-project-bouncing-ball lab.
- Khái niệm: array copy semantics, fixed-size buffer, state transition, deterministic rendering.

Output:
- Fixed-size buffer module có tests.
- Retro LED Clock baseline chạy được.
- Architecture notes cho rendering pipeline và temporal update.
- Mở rộng clock: timezone, 12h/24h, color theme, config file.
- Golden output tests cho key display states.

Done criteria:
- Giải thích được khi nào dùng array, khi nào dùng slice.
- Clock có deterministic output khi dùng fixed clock source.
- Có note data flow/state transition bằng tiếng Việt.",,2,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W4-A (2 ngày) — Array là value type,"Nguồn: learngo 14-arrays.
Folder: `playground/w4/arrays/`

**MỤC TIÊU:** Hiểu tại sao `[3]int` và `[4]int` là 2 type hoàn toàn khác nhau.

---

**EX A — Size-as-Type drill (30 phút)**
File: `01_size_type.go`
```go
package main
import ""fmt""
func main() {
    a := [3]int{1, 2, 3}
    b := [4]int{1, 2, 3, 4}
    fmt.Printf(""a type: %T\n"", a)  // [3]int
    fmt.Printf(""b type: %T\n"", b)  // [4]int
    
    // Cố ý tạo lỗi — bỏ comment và quan sát:
    // a = b  // ❌ compile error: cannot use [4]int as [3]int
    
    // Array comparison (khác slice!)
    a2 := [3]int{1, 2, 3}
    fmt.Println(a == a2)  // true — arrays so sánh được!
}
```
❓ Tại sao slice không so sánh được nhưng array thì được?
❓ Trong Dart, bạn có `List<int>` có fixed size không? So sánh với Go array.

---

**EX B — Copy Semantics (30 phút)**
File: `02_copy_semantics.go`
```go
package main
import ""fmt""

func modifyArray(arr [5]int) {
    arr[0] = 999  // thay đổi COPY, không ảnh hưởng caller!
    fmt.Println(""inside:"", arr[0])
}

func modifySlice(s []int) {
    s[0] = 999  // thay đổi BACKING ARRAY, caller thấy!
    fmt.Println(""inside:"", s[0])
}

func main() {
    arr := [5]int{1, 2, 3, 4, 5}
    modifyArray(arr)
    fmt.Println(""after modifyArray:"", arr[0])  // vẫn là 1!
    
    sl := []int{1, 2, 3, 4, 5}
    modifySlice(sl)
    fmt.Println(""after modifySlice:"", sl[0])   // đã là 999!
}
```
❓ Dùng `*[5]int` (pointer to array) nếu muốn modify — viết thử

---

**EX C — Fixed-size Buffer Module (45 phút)**
File: `buffer/buffer.go`
```go
package buffer

// RingBuffer là fixed-size circular buffer để giữ N phần tử gần nhất.
type RingBuffer struct {
    data  [8]float64
    head  int
    count int
}

// Push thêm item. Nếu đầy thì overwrite cũ nhất.
func (r *RingBuffer) Push(v float64) {
    r.data[r.head % 8] = v
    r.head++
    if r.count < 8 { r.count++ }
}

// Average trả trung bình. Return 0 nếu chưa có data.
func (r *RingBuffer) Average() float64 {
    if r.count == 0 { return 0 }
    var sum float64
    for _, v := range r.data[:r.count] { sum += v }
    return sum / float64(r.count)
}
```
File: `buffer/buffer_test.go` — viết test cho Push và Average

---

**EX D — Kết luận (15 phút)**
Ghi vào `notes/w4-arrays.md`:
- Array: 3 trường hợp nên dùng (fixed size, compare, embedded in struct)
- Slice: khi nào tốt hơn
- Buffer module: tại sao dùng array bên trong thay slice?

---

**BUG DIARY:** mọi lỗi compile gặp — ghi lại tất cả theo format: `lỗi | nguyên nhân | fix`.

**Output:** buffer module + tests + notes array semantics.

**Done criteria:** giải thích được à sao `[3]int` và `[4]int` không gán cho nhau; buffer test xanh.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W4-B (2 ngày) — Retro LED Clock internals,"Nguồn: learngo 15-project-retro-led-clock.
Folder: `playground/w4/clock/`

**MỤC TIÊU:** Hiểu cách input time ↦ output display qua rendering pipeline.

---

**EX A — Chạy và đọc source (30 phút)**
```bash
cd learngo/15-project-retro-led-clock
go run .
# Dừng sau 5 giây — Ctrl+C
```
Trả lời bằng cách đọc source (không chạy lại):
❓ Data type nào lưu mỗi digit (0-9)? Array hay slice?
❓ Hàm nào biến hour/minute/second thành các dòng ký tự?
❓ Vòng loop `render` có chạy mãi hay có điều kiện thoát?

---

**EX B — Viết Architecture Diagram (30 phút)**
File: `notes/w4-clock-arch.md`
Vẽ flow bằng text:
```
time.Now()
    ↓
hour, min, sec
    ↓
digitToLines(d) × 6 [các digit lần lượt]
    ↓
assemble rows (kết hợp hàng ngang)
    ↓
clear screen + print
    ↓
time.Sleep(1s)
    ↓
[lặp lại]
```
❓ Dữ liệu “state” của clock là gì? Nó thay đổi như thế nào qua mỗi tick?

---

**EX C — Thêm Clock Source để test được (45 phút)**
Viết layer để inject time tháy vì hardcode `time.Now()`:
```go
// ClockSource là function trả thời gian hiện tại.
type ClockSource func() time.Time

// RealClock dùng time.Now thật.
var RealClock ClockSource = time.Now

// FixedClock dùng cho test: luôn trả cùng 1 giờ.
func FixedClock(t time.Time) ClockSource {
    return func() time.Time { return t }
}

// Test:
func TestRenderDigit(t *testing.T) {
    fixed := FixedClock(time.Date(2026, 1, 1, 12, 34, 56, 0, time.UTC))
    output := renderClock(fixed())
    // output phải chứa ""12:34:56"" theo một dạng nào đó
    if !strings.Contains(output, ""???"") {
        t.Errorf(""expected time in output"")
    }
}
```

---

**EX D — Chạy clock và đọc output (15 phút)**
```bash
go build -o clock .
./clock  # chạy 3 giây, quan sát cách clear screen
```
❓ Clear screen được thực hiện bằng cách nào? (ANSI escape? os.Stdout?)

---

**BUG DIARY:** ghi lại bất kỳ khi `time.Sleep` khiến test chậm hay khó debug.

**Output:** baseline clock chạy + architecture notes + ClockSource layer.

**Done criteria:** hiểu từng bước render; test với FixedClock không phụ thuộc giờ thật.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #2 Part 1 (2 ngày) — Mở rộng tính năng Clock,"Input: Retro LED Clock baseline từ W4-B.

**MỤC TIÊU:** Thêm tính năng theo spec — kiểm chứng không phá architecture cũ.

---

**Feature 1 — Timezone (30 phút)**
```go
// Flag: ./clock --tz Asia/Ho_Chi_Minh
func parseTimezone(s string) (*time.Location, error) {
    loc, err := time.LoadLocation(s)
    if err != nil {
        return nil, fmt.Errorf(""invalid timezone %q: %w"", s, err)
    }
    return loc, nil
}
// Fallback: nếu tz không hợp lệ → dùng UTC, in warning ra stderr
```
❓ Test: `FixedClock(utcTime)` với timezone `Asia/Ho_Chi_Minh` → output +7h?

---

**Feature 2 — 12h/24h mode (30 phút)**
```go
type HourFormat int
const (
    Format24 HourFormat = iota
    Format12
)
func formatHour(h int, f HourFormat) (display int, ampm string) {
    if f == Format12 {
        if h == 0 { return 12, ""AM"" }
        if h < 12 { return h, ""AM"" }
        if h == 12 { return 12, ""PM"" }
        return h - 12, ""PM""
    }
    return h, """"
}
```

---

**Feature 3 — Config file (30 phút)**
File: `config.json`
```json
{
  ""timezone"": ""Asia/Ho_Chi_Minh"",
  ""format"": ""12h"",
  ""theme"": ""default""
}
```
```go
type Config struct {
    Timezone string `json:""timezone""`
    Format   string `json:""format""`
    Theme    string `json:""theme""`
}
// Load config, fallback to default nếu file không tồn tại
// Validate sau khi load — không trust file config
```
❓ Nếu `timezone` trong config sai — app phải làm gì? Panic hay fallback?

---

**Output:** Clock có --tz flag + 12h/24h + config.json + config không valid không crash.

**Done criteria:** config sai không crash; default hợp lý; test coverage đủ cho format logic.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #2 QA (1 ngày) — Reliability pass,"Input: Clock đã mở rộng từ Dự án #2 Part 1.

**MỤC TIÊU:** Đảm bảo clock cho output xác định khi test — không phụ thuộc giờ thật.

---

**BƯỚC 1 — Golden Output Tests (40 phút)**
```go
// Golden test: snapshot output của một giờ cụ thể
func TestRenderGolden(t *testing.T) {
    cases := []struct{
        name string
        h, m, s int
        wantFile string
    }{
        {""midnight"",    0,  0,  0, ""testdata/00_00_00.txt""},
        {""noon"",       12,  0,  0, ""testdata/12_00_00.txt""},
        {""max"",        23, 59, 59, ""testdata/23_59_59.txt""},
    }
    for _, tt := range cases {
        t.Run(tt.name, func(t *testing.T) {
            got := renderTime(tt.h, tt.m, tt.s)
            // Lần đầu: tạo golden file
            // golden.Write(t, tt.wantFile, got)
            // Từ lần 2: so sánh
            want := golden.Read(t, tt.wantFile)
            if got != want {
                t.Errorf(""golden mismatch for %s"", tt.name)
            }
        })
    }
}
```
❓ Khi nào cần cập nhật golden files? Làm sao không ""acci-approve"" thay đổi?

---

**BƯỚC 2 — Deterministic test cho format logic (20 phút)**
```bash
# Tạo testdata/ folder
mkdir testdata
# Generate initial golden files bằng cach chạy với flag
go test -run TestRenderGolden -update  # nếu implement update flag
```

---

**BƯỚC 3 — CI checklist (20 phút)**
```bash
go test ./...          # xanh
go test -race ./...    # không race condition
go vet ./...           # không warning
go build ./...         # build sạch
```

---

**Output:** testdata/ golden files + golden test pass + CI checklist xanh.

**Done criteria:** cùng input time/config luôn cho cùng output; test không dùng `time.Now()`.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Lab dự án W4 — Bouncing Ball adaptation,"Nguồn: learngo 18-project-bouncing-ball.
Folder: `playground/w4/bouncing-ball/`

**MỤC TIÊU:** Hiểu simulation loop + state update — test được không phụ thuộc thời gian.

---

**BƯỚC 1 — Đọc source và chạy (20 phút)**
```bash
cd learngo/18-project-bouncing-ball
go run .  # quan sát 5 giây
```
❓ Ball state gồm những gì? (position, velocity...)
❓ Ranh giới được kiểm tra ở đâu?

---

**BƯỚC 2 — Tách simulation step (45 phút)**
File: `sim/sim.go`
```go
package sim

type Ball struct {
    X, Y   float64
    VX, VY float64
}

// Step cập nhật trạng thái 1 tick. Bounds: [0, width] x [0, height].
func Step(b Ball, width, height float64) Ball {
    b.X += b.VX
    b.Y += b.VY
    // Reflect nếu chạm biên
    if b.X < 0 || b.X > width  { b.VX = -b.VX }
    if b.Y < 0 || b.Y > height { b.VY = -b.VY }
    return b  // return copy, không mutate!
}
```

File: `sim/sim_test.go`:
```go
func TestStepReflect(t *testing.T) {
    b := Ball{X: 9.5, Y: 5, VX: 1, VY: 0}
    b = Step(b, 10, 10)  // X sẽ vượt biên
    if b.VX >= 0 {
        t.Error(""expected VX to be negative after reflection"")
    }
}
```

---

**BƯỚC 3 — Vình viễn thoát khỏi `time.Sleep` khi test (20 phút)**
```go
// Render loop với inject source
func RunWithTicker(b Ball, tick <-chan time.Time, render func(Ball)) {
    for range tick {
        b = sim.Step(b, 80, 24)
        render(b)
    }
}
// Test: dùng buffered channel thay timer
tick := make(chan time.Time, 5)
for i := 0; i < 5; i++ { tick <- time.Now() }
close(tick)
```

---

**Output:** `sim` package + tests + render loop không phụ thuộc `time.Sleep`.

**Done criteria:** simulation step test được deterministically; không phụ thuộc wall clock trong test.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Ngày phục hồi W4 — Củng cố array/clock,"**MỤC TIÊU:** Không nên sang W5 khi chưa hiểu chắc array semantics.

---

**CHECKLIST trước W5:**

**1. Array copy test không mở notes (20 phút)**
Viết từ trí nhớ (không nhìn lại code):
```go
// Viết function nhận [4]int và trả về copy đã reversed
// Test: caller array không bị thay đổi sau khi gọi
func reverseArray(arr [4]int) [4]int { ... }
```

**2. State model review (15 phút)**
Giải thích flow bao gồm đầy đủ nhưng vắn gọn:
- Clock nhận time → giải thích các bước đến output
- Thêm timezone thay đổi flow ở điểm nào?

**3. Simplify 1 điều (20 phút)**
Nhìn lại code clock, tìm 1 chỗ có thể đơn giản hơn — ghi vào `tech-debt.md`.
❓ Không code ngay! Chỉ ghi ý kiến.

**4. Self-quiz 5 câu (15 phút)**
1. `[3]int` có là same type với `[3]int64` không?
2. Pass array vào function: bạn sửa element bên trong — caller biết không?
3. Có cách nào so sánh 2 array không?
4. `[...]int{1,2,3}` khác `[]int{1,2,3}` chỗ nào?
5. Khi nào array tốt hơn slice? (3 trường hợp cụ thể)

---

**Output:** reverseArray test + state model note + 1 tech debt + 5 quiz answers.

**Done criteria:** hiểu rõ array value semantics trước khi bước sang slice.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Tổng kết W4 — Breakdown rendering/state model,"Input: Retro Clock source và notes W4.

**MỤC TIÊU:** Tóm tắt state/data model rõ ràng để sang W5 không lạc hướng.

---

**BƯỚC 1 — State Transition Diagram (25 phút)**
File: `notes/w4-state-model.md`
```
# Retro Clock State Model

## Input
- time.Time (từ ClockSource)

## Transform pipeline
1. time.Time → h, m, s (integers)
2. h, m, s → digit array (e.g., [1,2,3,4,5,6])
3. digit array → [5][N]string (5 rows, N chars wide)
4. [5][N]string → joined string (ready to print)
5. Clear terminal + print + sleep

## State
- Clock không có persistent state — re-compute mỗi tick
- Config là state duy nhất (timezone, format)

## Ví dụ cụ thể
Input: 12:34:56
Digits: [1, 2, ':', 3, 4, ':', 5, 6]
Rows:
  Row 0: "" _  _  _  _  _ ""
  Row 1: ""| |_  _||_||_ ""
  Row 2: ""|_| _|  | _||_|""
  ...
```

---

**BƯỚC 2 — Trả lời 5 câu không nhìn notes (15 phút)**
1. Array nào trong code clock có size là một phần của type?
2. Tại sao dùng array lưu các dòng digit thay vì slice?
3. Nếu muốn add cột giây (seconds) — phải đổi gì?
4. `renderTime(h, m, s int) string` — tại sao trả string thay vì in thẳng?
5. ClockSource — tại sao nó là function type thay vì chỉ là `time.Time`?

---

**Output:** state model doc + 5 câu trả lời.

**Done criteria:** đọc note là hình dung được clock render ra sao, không cần mở source code.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Sprint W5 — Slice và Empty File Finder (01-07/06),"Nguồn: roadmap_final.md, Phase 2/Tuần 5.

Mục tiêu tuần: hiểu slice internals thật sự, tránh aliasing bug, và xử lý filesystem có lỗi permission/nested directory.

Input:
- learngo: 16-slices, 17-project-empty-file-finder.
- Project #2 hardening: performance, terminal resize, docs, changelog.

Output:
- Notebook 15 experiment về len/cap/append/backing array/copy.
- Empty File Finder tự implement lại, không copy/paste.
- Scanner xử lý nested folder, permission denied, symbolic edge case nếu gặp.
- Clock có profiling notes và fallback mode terminal không hỗ trợ.
- 10 lỗi phổ biến quanh slice/filesystem và cách tránh.

Done criteria:
- Tự tái hiện và sửa được slice aliasing bug.
- Không bỏ qua error từ entry.Info/os.ReadDir.
- Project #2 có deterministic tests, config validation, compatibility checklist.",,2,2,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W5-A (2 ngày) — Slice internals và allocation strategy,"Nguồn: learngo 16-slices.
Folder: `playground/w5/slices/`

**MỤC TIÊU:** Hiểu tại sao slice aliasing là nguyen nhân bug phổ biến nhất trong Go.

---

**EX A — Trace len/cap qua append (30 phút)**
File: `01_len_cap_trace.go`
```go
package main
import ""fmt""
func main() {
    s := make([]int, 0, 3)
    printSlice(""init"", s)   // len=0 cap=3
    
    s = append(s, 1)
    printSlice(""append 1"", s)  // len=1 cap=3
    
    s = append(s, 2, 3)
    printSlice(""append 2,3"", s)  // len=3 cap=3
    
    s = append(s, 4)  // phải cấp phát mới!
    printSlice(""append 4 (realloc)"", s)  // len=4 cap=?
    
    // Câu hỏi: cap sau khi realloc là bao nhiêu?
    // Go spec nói không gì cụ thể — impl đầu tăng gấp đôi
}
func printSlice(label string, s []int) {
    fmt.Printf(""%-20s len=%d cap=%d\n"", label, len(s), cap(s))
}
```
❓ Tại sao phải `s = append(s, ...)` mà không chỉ `append(s, ...)`?

---

**EX B — Aliasing Bug (40 phút)**
File: `02_aliasing_bug.go`
```go
package main
import ""fmt""

// ❌ BUG: a và b share backing array!
func aliasDemo() {
    original := []int{1, 2, 3, 4, 5}
    alias := original[1:3]    // alias = [2, 3], share backing array!
    
    alias[0] = 999
    fmt.Println(original)  // [1 999 3 4 5] — bị thay đổi!
}

// ✅ FIX: dùng copy để bứt hẳn
func safeCopy() {
    original := []int{1, 2, 3, 4, 5}
    independent := make([]int, 2)
    copy(independent, original[1:3])  // copy data
    
    independent[0] = 999
    fmt.Println(original)  // [1 2 3 4 5] — không đổi!
}

func main() {
    aliasDemo()
    safeCopy()
}
```
❓ Mức 1: tại sao slice của slice share backing array?
❓ Mức 2: append lên alias sau khi cap cạn — original bị ảnh hưởng không?

---

**EX C — Preallocate vs Grow (30 phút)**
File: `03_preallocate.go`
```go
// So sánh:
// 1. grow dần (append không preallocate)
// 2. preallocate với make([]T, 0, n)
// 3. preallocate cả len (rồi index trực tiếp)

func buildSliceGrow(n int) []int {
    var s []int
    for i := 0; i < n; i++ {
        s = append(s, i*i)
    }
    return s
}

func buildSlicePrealloc(n int) []int {
    s := make([]int, 0, n)  // preallocate cap
    for i := 0; i < n; i++ {
        s = append(s, i*i)
    }
    return s
}
```
❓ Khi nào preallocate quan trọng? Loop 10 vs 10,000 phần tử?

---

**EX D — 15 Experiments Notebook (20 phút)**
Ghi vào `notes/w5-slice-experiments.md`:
- Exp 1-5: len/cap trace ở các điểm append
- Exp 6-10: aliasing cases và fix
- Exp 11-15: preallocate pattern và khi nào dùng

---

**BUG DIARY:** lỗi quan trọng nhất: ""sao mình sửa `b` mà `a` bị thay đổi""

**Output:** 3 files + experiments notebook.

**Done criteria:** tự tái hiện và sửa aliasing bug; giải thích được len/cap sau mỗi append.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Khối W5-B (2 ngày) — Empty File Finder baseline,"Nguồn: learngo 17-project-empty-file-finder.
Folder: `playground/w5/empty-finder/`

**MỤC TIÊU:** Viết filesystem scanner thật sự — không panic khi gặp lỗi permission.

---

**EX A — Đọc source, tìm hiểu flow (20 phút)**
```bash
cd learngo/17-project-empty-file-finder
go run . .
```
❓ Hàm nào traverse folder?
❓ `entry.Info()` có thể lỗi — code hiện tại xử lý chưa?

---

**EX B — Re-implement từ đầu (60 phút)**
File: `finder/finder.go`
```go
package finder

import (
    ""io/fs""
    ""path/filepath""
)

// Result lưu kết quả scan một file.
type Result struct {
    Path    string
    Empty   bool
    Err     error  // non-nil nếu không đọc được
}

// FindEmpty trả danh sách tất cả file trong root.
// Nếu file rỗng: Result.Empty = true
// Nếu lỗi đọc: Result.Err = error (không dừng scan)
func FindEmpty(root string) ([]Result, error) {
    var results []Result
    err := filepath.WalkDir(root, func(path string, d fs.DirEntry, err error) error {
        if err != nil {
            // Lỗi access folder — ghi lại, tiếp tục
            results = append(results, Result{Path: path, Err: err})
            return nil  // không return err → tiếp tục scan
        }
        if d.IsDir() { return nil }
        
        info, err := d.Info()
        if err != nil {
            results = append(results, Result{Path: path, Err: err})
            return nil
        }
        results = append(results, Result{
            Path:  path,
            Empty: info.Size() == 0,
        })
        return nil
    })
    return results, err
}
```

File: `finder/finder_test.go`:
```go
func TestFindEmpty(t *testing.T) {
    // Tạo temp folder với một số file mẫu
    dir := t.TempDir()
    os.WriteFile(filepath.Join(dir, ""empty.txt""), nil, 0644)
    os.WriteFile(filepath.Join(dir, ""nonempty.txt""), []byte(""hi""), 0644)
    
    results, err := FindEmpty(dir)
    // kiểm tra: 2 results, 1 empty, 0 error
    ...
}
```

---

**EX C — Main CLI wrapper (30 phút)**
File: `main.go`:
```go
func main() {
    root := "".""
    if len(os.Args) > 1 { root = os.Args[1] }
    
    results, err := finder.FindEmpty(root)
    if err != nil {
        fmt.Fprintf(os.Stderr, ""scan error: %v\n"", err)
        os.Exit(1)
    }
    for _, r := range results {
        if r.Err != nil {
            fmt.Fprintf(os.Stderr, ""skip %s: %v\n"", r.Path, r.Err)
            continue
        }
        if r.Empty {
            fmt.Println(r.Path)
        }
    }
}
```
❓ Tại sao in lỗi ra stderr thay stdout?

---

**BUG DIARY:** lỗi ""skip"" folder do permission denied — test trên folder bị hạn chế quyền.

**Output:** `finder` package + tests + main CLI.

**Done criteria:** scan không panic; output rõ ràng giữa file rỗng và lỗi đọc.",,3,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #2 Part 2 (2 ngày) — Performance và UX,"Input: Clock project sau W4.

**MỤC TIÊU:** Tối ưu rendering và xử lý edge case terminal không hỗ trợ.

---

**BƯỚC 1 — Profiling note (30 phút)**
```bash
go test -bench=. ./...
go test -cpuprofile=cpu.out ./...
go tool pprof cpu.out
```
Ghi vào `notes/w5-perf-notes.md`:
- Hàm nào chậm nhất? (thường là string concat hay clear screen)
- So sánh `fmt.Sprintf` vs `strings.Builder` cho string assembly

---

**BƯỚC 2 — Terminal resize graceful (30 phút)**
```go
// Xử lý terminal resize signal (SIGWINCH) trên Linux/Mac
// Trên Windows: không có signal — check term size mỗi tick
import ""golang.org/x/term""

func getTermSize() (width, height int) {
    w, h, err := term.GetSize(int(os.Stdout.Fd()))
    if err != nil {
        return 80, 24  // fallback
    }
    return w, h
}
// Nếu terminal quá nhỏ: in warning thay crash
if width < 40 || height < 8 {
    fmt.Fprintln(os.Stderr, ""terminal too small, minimum 40x8"")
    os.Exit(1)
}
```

---

**BƯỚC 3 — Fallback mode (30 phút)**
```go
// Nếu không hỗ trợ ANSI (dùng isatty package)
import ""github.com/mattn/go-isatty""

var useANSI = isatty.IsTerminal(os.Stdout.Fd())

func clearScreen() {
    if useANSI {
        fmt.Print(""\033[2J\033[H"")
    } else {
        // Plain mode: chỉ in separator
        fmt.Println(""---"")
    }
}
```
❓ Nếu chạy trong pipeline `./clock | grep "":""` — ANSI mode hay plain mode?

---

**Output:** perf notes + resize handling + fallback mode + clock không crash khi terminal lạ.

**Done criteria:** unsupported terminal không làm app hỏng; có ghi tradeoff performance.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Dự án #2 Ship (1 ngày) — v1.0 và maintenance checklist,"Input: Project #2 đã QA.

**MỤC TIÊU:** Đóng gói sản phẩm và ghi lại tài liệu kỹ thuật debt.

---

**BƯỚC 1 — Finalize CHANGELOG.md (20 phút)**
```markdown
# Changelog

## v1.0.0 (2026-06-xx)
### Added
- Timezone support via --tz flag
- 12h/24h format mode
- config.json support
- Golden output tests

### Fixed
- Terminal resize no longer crashes
- Invalid timezone falls back to UTC with warning

### Known Limitations
- No color theme switching at runtime
- Windows ANSI support requires manual terminal check
```

---

**BƯỚC 2 — Acceptance Checklist (15 phút)**
- [ ] `go test ./...` xanh
- [ ] `go test -race ./...` không race
- [ ] Clock chạy trên: macOS, Windows (nếu có), Linux
- [ ] Config sai không crash
- [ ] Terminal nhỏ không crash
- [ ] README: install + run + example

---

**BƯỚC 3 — Tag v1.0**
```bash
git tag v1.0
git log --oneline -10
```

---

**BƯỚC 4 — Tech Debt List (15 phút)**
```markdown
# tech-debt.md

## High Priority
- [ ] Color theme switching — hardcoded hiện tại

## Low Priority  
- [ ] Benchmark rendering per digit
- [ ] Cross-compile script

## Consciously Deferred
- No TUI library dependency (intentional YAGNI)
```

---

**Output:** CHANGELOG + acceptance checklist pass + tag v1.0 + tech-debt.md.

**Done criteria:** người khác clone và chạy được; giới hạn hiện tại được document rõ.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
task,Ngày phục hồi W5 — Slice và filesystem confidence pass,"**MỤC TIÊU:** Không sang W6 khi chưa tự tin với slice aliasing và WalkDir error.

---

**BƯỚC 1 — Aliasing drilldown từ trí nhớ (20 phút)**
Không nhìn notes, viết lại:
```go
// Tạo bug aliasing cố ý — chứng minh original bị thay đổi
// Sau đó fix bằng copy
// Test: cả 2 cách với TestAliasDemo + TestSafeCopy
```

---

**BƯỚC 2 — Filesystem edge case (20 phút)**
```bash
# Test FindEmpty trên folder thật
mkdir /tmp/testdir
touch /tmp/testdir/empty.txt
echo ""hi"" > /tmp/testdir/nonempty.txt
mkdir /tmp/testdir/subdir
./empty-finder /tmp/testdir
# Output: chỉ in empty.txt
```

---

**BƯỚC 3 — Self-quiz 5 câu (15 phút)**
1. `s := a[2:5]` — `s` và `a` share backing array không?
2. `copy(dst, src)` trả gì?
3. `append(s, newItems...)` — khi có re-alloc thì sửa s không ảnh hưởng alias cũ. Tại sao?
4. `filepath.WalkDir` có dừng khi gặp `fs.SkipDir` không?
5. Tại sao dùng `t.TempDir()` thay `os.MkdirTemp` trong test?

---

**Output:** aliasing reproduction + filesystem test pass + 5 quiz answers.

**Done criteria:** không còn dùng append/copy theo cảm tính; WalkDir error handling rõ ràng.",,2,3,Ngô (56385805),,,,Asia/Ho_Chi_Minh,,,,
